"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","y","area"
"20.1.1",-9999,-9999,0.0117609184235334,0.320811480283737,1.1405588388443,2.04683589935303,2.44159054756165,2.76936841011047,3.12799549102783,3.83869695663452,4.4182825088501,-100,11200,8834.43873921409
"21.1",0.662656366825104,0.886541485786438,1.17240309715271,1.56609582901001,1.8278249502182,2.17900419235229,2.53862524032593,2.85452675819397,3.21343231201172,3.95718359947205,4.54827213287354,100,11100,10845.0441617072
"21.1.1",-9999,-9999,0.00408495822921395,0.3180892765522,1.24982845783234,3.26765656471252,3.66235136985779,4.00185966491699,4.35985708236694,5.06500291824341,5.63548183441162,-100,11100,9095.95663405955
"22.1",0.713339745998383,1.00832986831665,1.38415884971619,1.78023207187653,2.10420083999634,2.52041721343994,2.87644100189209,3.18822836875916,3.54374361038208,4.28468084335327,4.87557983398438,100,11000,10654.8645892255
"22.1.1",-9999,-9999,0.00288136443123221,0.320058524608612,1.29351055622101,2.53160548210144,2.63965392112732,2.94683480262756,3.30431246757507,4.00695085525513,4.56347990036011,-100,11000,9286.26692149788
"23.1",0.796786308288574,1.07805597782135,1.45948565006256,1.8463568687439,2.16341924667358,2.57255697250366,2.92320799827576,3.23028492927551,3.57962679862976,4.31478643417358,4.90334558486938,100,10900,10614.5722373128
"23.1.1",-9999,-9999,0.00177133094985038,0.305288076400757,1.14633584022522,2.35702872276306,2.75170087814331,3.09090614318848,3.44783234596252,4.07493257522583,4.63017177581787,-100,10900,9326.61504948139
"24.1",0.841858208179474,1.12042701244354,1.49123358726501,1.86860966682434,2.17856431007385,2.57932806015015,2.92388892173767,3.22574925422668,3.56837368011475,4.29539632797241,4.87942981719971,100,10800,10666.7716201469
"24.1.1",-9999,-9999,-9999,0.312668770551682,1.34318244457245,3.15792298316956,3.55027055740356,3.84906458854675,4.20595550537109,4.90207052230835,5.45068979263306,-100,10800,9274.39835117757
"25.1",0.662164986133575,0.934770107269287,1.29557657241821,1.66422307491302,1.96756672859192,2.36018204689026,2.69876766204834,2.995037317276,3.33156180381775,4.04854106903076,4.62616109848022,100,10700,10768.3959354721
"25.1.1",-9999,-9999,-9999,0.306693345308304,1.32679164409637,3.23883128166199,3.51026725769043,3.8496687412262,3.88284730911255,4.52115964889526,5.05680131912231,-100,10700,9172.7062529251
"26.1",-9999,-9999,-9999,0.322502136230469,1.40072631835938,2.01468276977539,2.40808320045471,1.90328621864319,1.33455049991608,1.08068776130676,1.34700834751129,-100,10600,9040.90314361826
"26.1.1",0.651804506778717,0.894682347774506,1.24328434467316,1.60314893722534,1.9004373550415,2.28646683692932,2.61990022659302,2.911048412323,3.24206352233887,3.94948530197144,4.52037715911865,100,10600,10900.0482895523
"27.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.244398459792137,0.573236584663391,0.918153285980225,1.32063770294189,-100,10500,8938.75681621581
"27.1.1",0.829815089702606,1.0831937789917,1.41815567016602,1.76809322834015,2.05868721008301,2.43771409988403,2.76575827598572,3.05201315879822,3.37723326683044,4.0738959312439,4.63702249526978,100,10500,11002.7438742928
"28.1",1.33762502670288,1.57806634902954,1.8927960395813,2.22644543647766,2.50589203834534,2.87337779998779,3.19285655021667,3.47158885002136,3.78898429870605,4.47301340103149,5.02864646911621,100,10400,11090.651954405
"28.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.610657632350922,0.862969517707825,1.16090166568756,1.58590459823608,-100,10400,8849.70726920292
"29.1",-9999,-9999,-9999,-9999,-9999,-9999,0.132778719067574,0.680944383144379,0.943010330200195,1.16191208362579,1.14937126636505,-100,10300,8951.78561096638
"29.1.1",1.2466869354248,1.47704255580902,1.77289569377899,2.08793687820435,2.3529577255249,2.70387578010559,3.01094365119934,3.27942395210266,3.58646607398987,4.25446701049805,4.80141735076904,100,10300,10989.9494260252
"30.1",0.681841492652893,0.983210623264313,0.789400696754456,1.17652916908264,1.45604801177979,1.75066757202148,0.953623592853546,0.556874632835388,0.619247436523438,0.983858108520508,0.80501800775528,-100,10200,9120.62305558845
"30.1.1",0.921429932117462,1.13618886470795,1.40161049365997,1.68823647499084,1.93236541748047,2.26106286048889,2.55370807647705,2.81119084358215,3.10806155204773,3.7633650302887,4.30735015869141,100,10200,10820.0816229545
"31.1",0.925393521785736,1.21367144584656,1.21268129348755,1.59777402877808,1.88074898719788,2.23872947692871,2.35149669647217,2.61710691452026,2.91941452026367,2.90417289733887,2.55613565444946,-100,10100,9448.43899230659
"31.1.1",0.481348752975464,0.479105859994888,0.641229271888733,0.822680234909058,1.04944944381714,1.36305737495422,1.62791752815247,1.88018107414246,2.17197155952454,2.82129263877869,3.36511087417603,100,10100,10492.9026352353
"32.1",0.947126388549805,1.05471932888031,1.43877172470093,1.78021693229675,1.80842804908752,2.18172121047974,2.50399398803711,2.77823114395142,2.81481051445007,2.62851285934448,3.06594181060791,-100,10000,9760.12615855411
"32.1.1",0.348847419023514,0.351767182350159,0.549132406711578,0.716380536556244,0.851535379886627,1.08059310913086,1.05862057209015,0.951744079589844,1.23923575878143,1.615718126297,2.16946244239807,100,10000,10181.0156196319
"33.1",0.862080454826355,1.05568766593933,1.35840845108032,1.52924013137817,1.78459048271179,2.13937377929688,2.45441007614136,2.51302647590637,2.81855297088623,2.98422980308533,3.55059456825256,-100,9900,10047.833627481
"33.1.1",0.141593039035797,0.399023741483688,0.635398328304291,0.579075992107391,0.518365502357483,0.618954420089722,0.881312668323517,0.488369643688202,0.330987215042114,0.603509902954102,1.12783861160278,100,9900,9893.38008857891
"34.1",0.582463026046753,0.714612722396851,0.94632351398468,1.17203164100647,1.38618552684784,1.7071179151535,1.9897129535675,2.2451000213623,2.54581618309021,3.26228165626526,3.8726007938385,-100,9800,10259.8313770704
"34.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.16115103662014,0.43748727440834,0.355671584606171,0.749593615531921,1.03210353851318,100,9800,9681.44885087386
"35.1",0.251841306686401,0.331261843442917,0.503303587436676,0.707959771156311,0.940742373466492,1.28676402568817,1.48301339149475,1.43376243114471,1.60041856765747,2.36563324928284,3.00396537780762,-100,9700,10422.1101738662
"35.1.1",-9999,-9999,-9999,-9999,-9999,-9999,0.217056646943092,0.53290206193924,0.471103191375732,0.711471557617188,1.29825472831726,100,9700,9518.98578888178
"36.1",0.826201260089874,1.04056239128113,1.32554376125336,1.6708379983902,0.669300377368927,1.11027050018311,0.385824620723724,0.365774929523468,0.5983527302742,1.12565779685974,1.78307950496674,100,9600,9421.54882028699
"36.1.1",0.2959124147892,0.33658504486084,0.6381955742836,0.81739467382431,0.948641121387482,1.23515868186951,1.2933623790741,1.4486163854599,1.70119607448578,2.38593053817749,2.84582924842834,-100,9600,10519.7030413672
"37.1",0.500486254692078,0.6911541223526,0.758589744567871,1.04287075996399,1.01339769363403,1.4588395357132,1.2340532541275,1.13602364063263,1.49955606460571,2.32417249679565,2.99425864219666,100,9500,9327.90408432484
"37.1.1",0.288379013538361,0.451796054840088,0.684979617595673,0.979438543319702,1.26096057891846,1.54463112354279,1.7758207321167,1.9069356918335,2.17203688621521,2.86174511909485,3.30378603935242,-100,9500,10613.437428616
"38.1",0.387005597352982,0.46687638759613,0.758809506893158,1.1353532075882,1.49001336097717,1.87883460521698,2.25240182876587,2.5225088596344,2.8100426197052,3.66720366477966,4.34963274002075,-100,9400,10729.677070871
"38.1.1",0.401999324560165,0.560224294662476,0.786485731601715,1.12315559387207,1.46854674816132,1.85242676734924,2.212482213974,2.39696407318115,2.78553318977356,3.63997030258179,4.31771039962769,100,9400,9211.33559543267
"39.1",0.360513418912888,0.48611643910408,0.736125946044922,1.19367027282715,1.58856976032257,1.90407776832581,2.1664342880249,1.89107656478882,2.23388385772705,3.09034538269043,3.77617979049683,100,9300,9072.06541150436
"39.1.1",0.684635639190674,0.703043341636658,1.03525412082672,1.40077543258667,1.62386965751648,1.77512061595917,2.10794806480408,2.45487403869629,2.84828519821167,3.71251463890076,4.39984369277954,-100,9300,10868.7171130292
"40.1",0.358472108840942,0.705241024494171,1.2004998922348,1.70070898532867,1.84631299972534,1.66383481025696,1.42366147041321,1.35617411136627,1.418417096138,2.02528309822083,2.50077891349792,100,9200,8926.1135414727
"40.1.1",0.635958254337311,0.981618463993073,1.39208197593689,1.75049865245819,2.16483879089355,1.58173906803131,1.71426630020142,1.90653026103973,2.16635060310364,2.48387455940247,3.04970240592957,-100,9200,11015.3900662586
