"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","mean.correction_factor","y","area","bottom_area"
"58.4",1.40803575515747,1.83936667442322,1.22978615760803,1.18726170063019,1.03262519836426,1.08679270744324,1.28069984912872,1.32493150234222,1.50677502155304,2.0162878036499,2.51856136322021,0,1.00066614151001,1000,39858.6068876684,39885.1583602474
"59.4",1.175745844841,1.26093173027039,1.15507006645203,1.13167440891266,1.19462049007416,1.25247275829315,1.37987613677979,1.51370632648468,1.72993993759155,2.24326801300049,2.75592231750488,0,1.00066125392914,800,39858.3737064824,39884.7302127048
"60.4",0.83513605594635,0.776610553264618,0.871497750282288,0.895442843437195,0.921755373477936,1.01381886005402,1.14585363864899,1.26848471164703,1.46104872226715,2.00376415252686,2.55125260353088,0,1.00037717819214,600,39847.3849122375,39862.4144768402
"61.4",0.741304636001587,0.548726677894592,0.656164288520813,0.798556923866272,0.904002487659454,1.03845107555389,1.28644561767578,1.53938591480255,1.85645270347595,2.37379741668701,3.01403188705444,0,1.00071728229523,400,39869.094186604,39897.6915819908
"2.1",0.336975246667862,0.514990508556366,0.566952764987946,0.838721394538879,1.01853096485138,1.23170006275177,1.22498989105225,1.27120542526245,1.26769173145294,1.87177169322968,2.38525772094727,200,1.00081050395966,12200,40491.3060733937,40524.1244372978
"2.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.65809369087219,-200,1.00547301769257,12200,39193.9259706512,39408.4350209297
"3.1",0.494937241077423,0.707765936851501,0.909557700157166,1.05771160125732,1.37550783157349,1.66234600543976,1.92478239536285,2.14754700660706,2.47329807281494,2.85433316230774,3.06636571884155,200,1.00056600570679,12000,46358.6573533863,46384.8966180073
"3.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.375416666269302,-200,1.00002145767212,12000,33379.9094913341,33380.6257464873
"4.1",1.00752794742584,1.29423630237579,1.64103817939758,1.9160258769989,2.39678001403809,2.67369627952576,2.91777944564819,3.07070827484131,3.28560566902161,3.87581038475037,4.20875930786133,200,1.00164520740509,11800,42658.5059496854,42728.6880395639
"4.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.696804881095886,0.562697529792786,-200,1.00019645690918,11800,37058.7020365307,37065.982474591
"5.1",0.879319190979004,1.03100895881653,1.45033764839172,1.18543064594269,1.54960894584656,1.89086699485779,1.98766779899597,2.09453392028809,2.65660500526428,2.8435525894165,2.97785925865173,200,1.00318026542664,11600,42475.7880583857,42610.8723386169
"5.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.221824362874031,0.674107491970062,-200,1.00001633167267,11600,37240.9990491141,37241.6072569204
"6.1",-9999,-9999,-9999,-9999,-9999,-9999,0.0251533724367619,0.174605116248131,3.96416974067688,4.60886812210083,5.27595520019531,200,1.00096464157104,11400,42691.6311168829,42732.813238994
"6.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.217188566923141,0.615913927555084,-200,1.00001084804535,11400,37025.4060896338,37025.8077429182
"7.1",0.373785883188248,0.481091737747192,0.584423661231995,0.918138861656189,1.38200902938843,1.65085291862488,1.8269989490509,1.89729225635529,2.185138463974,2.79956340789795,3.09068441390991,200,1.0014191865921,11200,43517.4354944252,43579.1948554016
"7.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.239442586898804,0.541125774383545,-200,1.00001335144043,11200,36199.0449726195,36199.5282820121
"8.1",0.492658793926239,0.730989575386047,0.572618067264557,0.870685219764709,1.47971224784851,2.15509247779846,2.47925925254822,2.76163554191589,3.09708881378174,3.74496293067932,4.21635770797729,200,1.00115370750427,11000,45509.0101809315,45561.5142674893
"8.1.1",-9999,-9999,-9999,-9999,-9999,0.27740478515625,0.67218017578125,1.01203918457031,1.37095642089844,0.0856307074427605,0.384435057640076,-200,1.00001704692841,11000,34204.7737181652,34205.3568044939
"9.1",0.527339994907379,0.681790232658386,0.863495647907257,1.22276508808136,1.61315310001373,2.16993999481201,2.47546648979187,2.74304723739624,3.05412149429321,3.60274982452393,4.12155485153198,200,1.00026154518127,10800,49767.6180005539,49780.6344812255
"9.1.1",-9999,-9999,0.00114215386565775,0.319466382265091,1.18692338466644,2.79877996444702,2.96971225738525,3.30929112434387,3.66728973388672,2.95011854171753,2.98000645637512,-200,1.00307667255402,10800,29943.109682912,30035.2348266553
"10.1",0.609933316707611,0.849714457988739,1.1798939704895,1.5222829580307,1.83442950248718,2.21189403533936,2.56547880172729,2.87615895271301,3.21249890327454,3.36612915992737,3.73647904396057,200,1.00033283233643,10600,53426.8125058375,53444.5946766716
"10.1.1",-9999,-9999,0.00163448229432106,0.309244602918625,1.37355470657349,3.41429996490479,3.80898404121399,4.14854574203491,4.50640535354614,5.21016502380371,5.77783966064453,-200,1.00012743473053,10600,26303.6317202412,26306.9837164614
"11.1",0.839797794818878,1.10993242263794,1.43508267402649,1.81837809085846,2.13276338577271,2.53867554664612,2.88700079917908,3.19208097457886,3.49972486495972,3.17353892326355,3.4915623664856,200,1.00014734268188,10400,50327.863578178,50335.2790205711
"11.1.1",-9999,-9999,0.00165497709531337,0.284495323896408,1.30977129936218,3.55989694595337,3.95457148551941,4.29405736923218,4.65153551101685,5.34979057312012,5.90972995758057,-200,1.00055515766144,10400,29384.9607678875,29401.2740539889
"12.1",-9999,-9999,-9999,0.319086521863937,1.39731454849243,3.7551908493042,4.14985656738281,2.94890928268433,1.45762157440186,1.7203221321106,1.78582572937012,-200,1.00250220298767,10200,33521.4984585717,33605.376052166
"12.1.1",0.656490981578827,0.85602605342865,1.1941704750061,1.55778479576111,1.84380114078522,2.2326192855835,2.56827783584595,2.83727669715881,3.10943841934204,3.74427437782288,4.27220964431763,200,1.00032901763916,10200,46192.0895156637,46207.287527904
